Speed,Direction,Treatment,SameSide,Children,Pedestrians,Hour,Visibility,Location,Date,DayofWeek,Observer,ReformattedDate,CityID,Cluster
26,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
30,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
27,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
31,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
26,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
26,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
28,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
35,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
33,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
25,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
25,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
25,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
22,n,0,0,0,1,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
21,n,0,0,0,1,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
25,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
27,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
22,n,0,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
24,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
31,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
24,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
27,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
31,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
29,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
27,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
23,s,0,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-0
28,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
24,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
27,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
29,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
27,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
21,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
27,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
23,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
24,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
19,n,1,0,0,1,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
24,n,1,0,0,1,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
30,n,1,0,0,1,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,s,1,1,0,1,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
22,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
26,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
18,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
20,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
21,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
20,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
29,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
28,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
17,s,1,1,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
25,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
15,n,1,0,0,0,1400,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1400-1
24,n,0,0,0,0,1500,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1500-0
27,n,0,0,0,0,1500,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1500-0
25,n,0,0,0,0,1500,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1500-0
28,n,0,0,0,0,1500,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1500-0
27,s,0,1,0,0,1500,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1500-0
26,s,0,1,0,0,1500,Clear,A,7/1/2017,7,Scott,0701,OR,OR-A-0701-1500-0
